Distance,Angle,axialRotation,zShift
9.55659,14.3179,90.4923,1.11965
8.60126,-39.9223,12.1206,3.43357
11.3738,-35.3778,-0.0840189,0.513191
6.82917,-44.7068,66.231,4.12958
7.6088,-45.7651,47.6303,2.49804
10.0143,-9.96574,24.5043,2.75392
7.51299,-29.4322,76.4929,1.45636
7.51461,-41.7901,34.6045,5.08585
9.56842,-51.8636,29.1964,1.66607
7.72395,-55.0131,17.0925,3.04333
7.04895,-5.49291,72.5895,5.03736
9.50857,-27.2034,33.8342,3.44226
11.0262,47.9207,67.0856,0.0850551
8.67889,-70.0957,76.4906,0.999482
11.0404,51.2605,6.3995,3.84605
8.23218,34.9647,31.5849,1.12647
11.3428,28.2112,28.2081,1.82639
10.367,48.1808,71.5263,2.05963
9.49528,-64.5636,91.8729,0.738378
7.52267,-39.9341,32.5971,5.42098
8.88075,-53.3147,54.1119,3.15747
11.4825,-3.14099,56.1218,0.231524
7.3227,-34.3597,66.1535,3.33909
8.86709,-75.951,60.1892,1.6934
9.06361,26.5468,32.5042,2.78521
9.89261,48.5822,60.9451,1.67319
9.98059,-59.8422,38.0276,2.82542
8.82346,-33.0589,24.7415,1.47369
10.2584,19.4282,72.5346,1.37961
6.86537,-54.5932,35.5239,3.87504
9.75682,-46.4239,69.7197,0.310612
7.97299,-39.7388,46.5653,1.86795
10.1925,-53.781,69.2633,1.30766
9.16665,-3.09453,25.3758,2.32084
9.01786,-9.81251,28.9161,3.46364
9.34428,25.2287,52.358,0.564565
9.14832,-61.5108,65.3984,1.17532
10.7809,-55.9472,85.9401,1.96087
8.33746,18.4993,61.8138,4.98453
11.2605,-37.2092,36.5236,3.97675
9.45893,41.0501,82.1116,5.4844
9.18263,54.6775,31.1849,1.86838
9.71406,27.5301,53.5087,3.61784
8.71613,-52.8577,82.8489,1.17255
10.6924,51.2637,29.478,5.60776
8.90801,-32.5072,51.6951,2.38985
8.35811,17.6123,63.9343,0.389741
6.74541,-43.425,46.2362,2.61707
7.9121,-47.1135,52.0843,1.90771
10.6132,25.6345,93.5865,1.43445
10.1595,0.492107,24.7332,0.951113
7.31166,-68.3993,15.8003,1.60751
8.04057,-61.1015,37.398,3.2831
8.79223,-53.9976,22.3901,2.53882
8.28984,-82.3028,79.7282,4.4593
9.97341,-70.0308,79.0872,3.61148
9.96734,-49.6003,36.3043,1.86748
8.90113,5.87392,17.0395,3.82054
6.59782,-48.643,78.606,1.56303
10.027,80.3172,69.6458,2.74369
10.4109,-42.1762,36.6042,3.20234
6.79338,-56.8682,88.2326,3.75932
10.7768,37.6782,22.6338,0.476654
10.5396,26.7249,39.1747,1.63777
9.61272,-43.8369,43.4662,2.59612
6.44742,-34.7501,68.5224,4.36271
7.80771,-24.9822,55.1123,0.13878
8.07778,-37.7957,23.8209,2.94525
9.84692,-8.57849,61.0954,5.17231
9.19709,-37.1634,34.4132,1.86901
8.42611,-44.4378,55.9862,2.95629
6.99727,-51.5996,65.2258,3.24471
7.94649,-52.6405,59.5772,1.62655
8.85314,6.82119,19.7546,4.87938
9.51735,35.3766,42.0473,2.1909
8.86313,-37.6353,54.2593,2.65072
8.80311,-33.1204,72.3732,2.9284
11.1579,19.1529,69.5753,1.86114
9.66917,-74.5424,60.1998,2.73337
7.63376,-39.7426,55.7697,3.9922
9.74876,-63.262,49.1382,3.43406
8.12766,13.9544,70.9653,3.80413
8.41174,-58.7697,64.2049,3.40172
8.40144,-44.4066,56.0018,2.82801
9.10662,-53.3753,9.55649,4.88531
9.46822,-3.0803,66.4086,4.14765
7.43884,-72.4626,81.6181,3.34723
9.84408,52.2158,45.4458,0.564923
8.60346,-71.2688,60.2496,2.9993
9.86243,-15.5112,60.1931,5.08052
9.40036,-28.1959,41.0302,3.39177
7.10899,54.6915,26.5936,4.00996
9.25107,20.2459,42.1742,3.50816
8.47627,-48.4619,56.5383,3.14346
8.797,-64.3028,61.4384,2.59851
8.54306,-36.1829,44.7291,3.76809
6.6415,-47.029,31.6137,2.43374
10.0678,-39.6022,34.615,5.08692
8.27541,-54.7195,38.0249,3.60775
8.24605,-45.813,63.0653,3.13843
8.88902,34.0067,49.0546,1.3386
6.95575,-49.8864,30.185,3.071
7.6459,-27.382,77.3346,2.65057
8.7193,24.0157,44.0591,1.87384
9.12987,-23.6699,20.2163,3.62201
7.0223,-27.0371,26.225,1.00699
10.7504,80.5835,48.2886,3.50902
10.493,-79.929,2.34319,4.93405
8.18279,-47.7429,74.3332,3.64956
8.17434,-33.0531,59.1145,3.40556
7.83284,-59.8595,50.8395,2.56367
10.3497,20.5034,91.0209,4.30387
7.73328,27.9543,12.6951,5.72637
10.555,-49.0785,28.0249,2.85123
7.93534,-63.2833,51.6917,3.69385
10.9492,29.9025,49.5666,1.91243
6.64624,-63.4808,89.418,4.92339
6.75773,-44.4603,45.7186,2.56441
7.15187,-73.1872,24.5011,3.5362
10.3523,-37.1866,12.5294,4.40517
9.21668,-35.7656,70.5788,2.48497
10.2534,1.63355,23.4687,0.822466
9.98637,34.4572,64.6645,2.92674
8.90688,-26.0658,75.4286,2.71752
8.03386,-45.4353,40.1029,4.73747
10.464,-47.5485,62.097,5.27421
9.64364,10.2322,83.4365,3.01049
8.01418,-68.6433,33.033,1.79553
9.24261,27.6622,28.6207,1.08576
8.60116,39.0674,74.6619,4.72647
11.7343,30.7797,87.2535,0.529265
9.92252,38.0447,58.5346,2.30309
8.04364,-61.5416,39.742,4.04332
8.42929,33.0212,43.1616,3.60861
10.4031,47.0443,70.9581,2.52356
6.41245,-45.9628,55.2237,1.18363
9.37152,43.2211,27.4258,2.26854
9.17988,2.98682,34.0366,1.63676
10.5451,-70.1109,12.3804,2.56392
6.68079,-75.5849,85.8926,1.69516
8.99636,-38.9016,72.5523,2.42488
8.87576,-16.4162,26.0518,2.65049
8.40483,-68.3843,74.7822,3.1735
11.132,-33.1117,97.5467,4.44606
8.09361,-64.1006,13.0946,2.11484
6.63433,-40.343,37.5208,1.73038
8.04232,-31.1759,19.9833,4.38091
11.4704,24.4325,13.4983,1.63418
7.47862,-33.1994,33.4003,2.87638
9.90716,-20.5341,-0.999827,4.33306
7.04982,-47.3656,72.4711,2.41662
8.28067,30.3588,90.8204,1.15303
10.1895,-70.6543,37.7497,3.34671
8.59612,-21.3523,2.68451,5.22964
10.4283,37.9177,35.4058,3.34128
6.41819,-54.7142,89.3096,0.999323
8.92152,-60.491,68.4724,1.74893
10.816,-44.4489,99.4462,4.37844
8.29705,-71.8161,91.015,4.30327
8.84444,-32.8708,54.0774,3.41483
7.09238,33.6372,66.8186,2.65116
10.1413,71.5734,38.0303,3.34743
10.139,13.6549,80.9974,-0.107223
11.4524,-24.9326,40.9205,1.55452
8.15399,85.82,11.032,5.2963
8.40114,-57.4569,62.2972,3.4685
6.26654,-54.0584,37.8613,1.50415
6.73735,-39.8576,15.8106,4.73899
8.28452,-42.7898,43.9897,3.432
9.90445,-87.0798,9.02421,1.43985
6.2207,-70.4893,21.531,0.625323
9.38134,-62.3614,58.5331,2.56381
7.58517,-30.8017,52.5479,2.47661
8.2865,3.38486,15.795,1.3461
8.97664,8.02508,18.1151,3.92997
8.39164,-29.289,48.176,3.0753
10.0904,36.2946,68.1473,1.71586
8.12392,54.7003,16.779,1.96795
7.35114,-39.1394,61.4307,1.08906
9.73478,-46.6913,9.81568,5.95516
7.60534,-3.41478,89.3183,5.17412
7.44911,-33.8849,56.1345,2.58064
6.55618,-56.2498,26.1775,2.66328
10.1479,-45.5057,24.683,4.07645
10.6392,-37.0847,39.15,0.626223
9.51282,31.1105,39.9142,2.75649
8.55938,-62.6315,28.9406,3.727
8.79589,-60.8743,32.3834,3.03379
9.13529,-46.8277,54.7913,2.18312
9.71697,-46.2951,24.0227,1.66144
10.2554,-45.2204,37.6462,3.30835
9.14476,35.5699,49.8362,2.4616
8.7749,35.9527,42.3353,3.26368
7.53504,-39.3379,40.5875,1.78151
10.6033,-50.5435,65.7539,4.86366
8.99742,-26.331,75.296,2.70403
8.59488,-30.5614,37.2834,1.44536
8.58549,-42.6595,41.4908,2.13428
10.1932,-37.7718,15.3195,0.775985
8.29417,-57.585,66.2349,3.60825
6.38585,-67.65,72.5853,4.77606
7.4567,-42.2407,51.9566,3.45993
8.79501,-66.6108,60.2844,2.4811
7.9568,16.0303,28.2395,4.91276
6.13377,-25.7967,6.33243,0.231953
9.61963,-76.6409,16.8078,1.44914
